zoo,Scientific name,Common name,Given name,gender,Date of birth,age,isTransportable
(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,Spermophilus tridecemlineatus,"Squirrel, thirteen-lined",Ardyth,Female,5/31/2023,02-162-2364,false
١٢٣,Felis caracal,"Lynx, african",Mohandis,Male,6/5/2023,73-622-0745,false
1,Orcinus orca,Orca,Glynnis,Female,6/4/2023,16-091-2918,true
田中さんにあげて下さい,Grus canadensis,Sandhill crane,Devland,Male,2/13/2024,39-265-7476,true
Œ„´‰ˇÁ¨ˆØ∏”’,Pseudalopex gymnocercus,"Zorro, azara's",Carlie,Male,5/11/2023,24-523-7440,false
"__ﾛ(,_,*)",Tayassu tajacu,Collared peccary,Nahum,Male,3/9/2024,01-775-3404,true
😍,Vulpes cinereoargenteus,Grey fox,Meridith,Female,8/8/2023,49-430-6824,true
`⁄€‹›ﬁﬂ‡°·‚—±,Spermophilus lateralis,Golden-mantled ground squirrel,Fayette,Female,12/25/2023,21-324-9526,false
　,Semnopithecus entellus,Common langur,Jayme,Female,1/13/2024,84-102-6590,false
"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",Sciurus vulgaris,"Squirrel, eurasian red",Cecily,Female,6/7/2023,64-674-7259,true
̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,Spermophilus armatus,Uinta ground squirrel,Devy,Bigender,11/10/2023,53-216-0934,true
-1/2,Amphibolurus barbatus,Western bearded dragon,Maryjo,Female,6/11/2023,45-218-1021,false
1E+02,Crotalus adamanteus,"Rattlesnake, eastern diamondback",Kirbie,Female,4/10/2024,09-855-0695,true
NIL,Coluber constrictor foxii,"Racer, blue",Abbi,Female,3/28/2024,73-394-3124,false
・(￣∀￣)・:*:,Tadorna tadorna,Common shelduck,Xever,Male,7/27/2023,54-796-9900,true
-1E2,Anser anser,Greylag goose,Keefe,Male,11/21/2023,73-452-0244,true
👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,Tetracerus quadricornis,"Antelope, four-horned",Sally,Female,3/14/2024,36-071-0425,false
﻿,Prionace glauca,"Shark, blue",Kirby,Female,3/1/2024,54-019-2507,true
$1.00,Felis yagouaroundi,Jaguarundi,Staford,Male,6/3/2023,09-198-4879,true
᠎,Zenaida galapagoensis,"Dove, galapagos",Lonny,Male,11/17/2023,18-172-7636,true
Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,Phalacrocorax brasilianus,"Cormorant, neotropic",Tadio,Male,10/27/2023,81-536-2179,false
😍,Oryx gazella,Gemsbok,Nerta,Bigender,6/1/2023,82-526-5362,false
‫test‫,Ceratotherium simum,"Rhinoceros, square-lipped",Cecilius,Male,7/1/2023,62-317-9191,false
̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,Platalea leucordia,European spoonbill,Austine,Female,12/23/2023,09-522-1302,true
1.00,Taurotagus oryx,"Eland, common",Rogers,Male,11/6/2023,21-241-2673,true
-1,Raphicerus campestris,Steenbuck,Aldin,Male,2/25/2024,77-076-8140,true
﻿,Pelecans onocratalus,Great white pelican,Gayleen,Female,3/2/2024,12-305-7495,false
-1E2,Sciurus niger,Eastern fox squirrel,Kerrie,Female,10/20/2023,10-358-7451,false
⁦test⁧,Spermophilus lateralis,"Squirrel, golden-mantled ground",Rand,Male,5/5/2023,61-598-9653,false
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,Phoca vitulina,Harbor seal,Rosabelle,Female,5/6/2023,44-550-6207,true
᠎,Eolophus roseicapillus,Red-breasted cockatoo,Margaretha,Female,9/29/2023,15-096-5436,false
NULL,Terrapene carolina,Eastern box turtle,Fleurette,Female,3/9/2024,86-226-8467,false
"'""'",Tockus flavirostris,Yellow-billed hornbill,Jethro,Male,10/20/2023,04-574-9246,false
-1,Mazama gouazoubira,Brown brocket,Benedicto,Male,8/30/2023,91-105-8870,false
-1,Phascogale calura,"Wambenger, red-tailed",Em,Female,5/8/2023,35-400-0622,false
!@#$%^&*(),Physignathus cocincinus,"Dragon, asian water",Kip,Female,2/22/2024,46-801-6213,true
사회과학원 어학연구소,Fregata magnificans,"Bird, magnificent frigate",Cortie,Male,8/2/2023,91-030-9089,true
NULL,Spilogale gracilis,"Skunk, western spotted",Almeria,Female,2/11/2024,43-849-8551,true
../../../../../../../../../../../etc/hosts,Butorides striatus,Green heron,Hunter,Male,7/18/2023,73-396-7311,true
"<>?:""{}|_+",Gekko gecko,Tokay gecko,Ronnica,Female,7/16/2023,97-633-4420,true
😍,Connochaetus taurinus,"Gnu, brindled",Nichols,Male,7/8/2023,46-347-2752,true
1E2,Carduelis pinus,"Siskin, pine",Amberly,Female,10/16/2023,65-359-7736,true
../../../../../../../../../../../etc/passwd%00,Tauraco porphyrelophus,Violet-crested turaco,Erv,Male,8/27/2023,99-238-9354,false
../../../../../../../../../../../etc/passwd%00,Speotyte cuniculata,"Owl, burrowing",Chelsie,Female,1/26/2024,99-621-5550,true
null,Dasyurus maculatus,"Quoll, spotted-tailed",Jasmine,Female,9/18/2023,73-471-2043,false
和製漢語,Eremophila alpestris,"Lark, horned",Ingaborg,Agender,4/10/2024,80-595-4150,false
␣,Uraeginthus angolensis,Blue waxbill,Carlota,Female,2/9/2024,12-127-7143,false
œ∑´®†¥¨ˆøπ“‘,Lamprotornis chalybaeus,"Starling, greater blue-eared",Micah,Male,2/4/2024,11-065-0325,true
-1/2,unavailable,South American meadowlark (unidentified),Ricca,Female,10/8/2023,06-512-8749,false
✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,Lycosa godeffroyi,Wolf spider,Tessi,Female,2/8/2024,51-239-4825,false
␡,Marmota monax,Groundhog,Roth,Male,1/4/2024,14-687-7689,false
᠎,Erinaceus frontalis,South African hedgehog,Reyna,Female,8/21/2023,09-566-9995,true
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,Phoenicopterus ruber,Roseat flamingo,Derk,Male,10/23/2023,25-494-8716,false
✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,Picoides pubescens,"Woodpecker, downy",Nikoletta,Female,1/29/2024,28-043-7123,false
1E02,Meles meles,"Badger, eurasian",Selma,Female,4/13/2024,50-092-6233,true
$1.00,Egretta thula,Snowy egret,Lulita,Female,4/4/2024,87-035-1435,true
/dev/null; touch /tmp/blns.fail ; echo,Canis lupus lycaon,"Wolf, timber",Rafaelia,Female,1/5/2024,57-628-2480,false
999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,Bettongia penicillata,Brush-tailed bettong,Reine,Female,2/17/2024,66-045-2411,true
NULL,Microcebus murinus,Lesser mouse lemur,Carlee,Female,6/26/2023,01-099-7973,false
!@#$%^&*(),Psophia viridis,"Trumpeter, green-winged",Anne,Female,1/20/2024,28-770-2353,true
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,Phoca vitulina,"Seal, common",Alyda,Female,9/5/2023,83-829-0909,false
・(￣∀￣)・:*:,unavailable,"Gull, herring",Candis,Female,10/5/2023,13-847-5728,false
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,Ninox superciliaris,"Owl, white-browed",Susannah,Female,10/30/2023,51-486-1791,false
␢,Choriotis kori,Kori bustard,Jobyna,Female,2/27/2024,70-289-3489,false
和製漢語,Sitta canadensis,"Nuthatch, red-breasted",Bearnard,Male,1/16/2024,50-598-0592,true
NIL,Otaria flavescens,South American sea lion,Filberte,Male,3/28/2024,97-858-9719,false
"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",Petaurus breviceps,"Glider, sugar",Cortie,Male,6/10/2023,40-868-0353,true
Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,Amphibolurus barbatus,Western bearded dragon,Read,Male,12/9/2023,91-927-4652,false
"'""'",Loris tardigratus,"Loris, slender",Elbert,Male,7/14/2023,21-627-8687,false
-1E+02,Diceros bicornis,Black rhinoceros,Sherwood,Male,7/15/2023,58-515-3009,false
/dev/null; touch /tmp/blns.fail ; echo,Rangifer tarandus,Caribou,Thaddus,Male,10/8/2023,98-291-2387,false
␣,Spizaetus coronatus,"Hawk-eagle, crowned",Hunter,Male,4/24/2023,91-862-9775,true
"<>?:""{}|_+",Dicrurus adsimilis,"Drongo, fork-tailed",Cammy,Bigender,8/5/2023,86-467-5961,false
ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,Ovis dalli stonei,"Sheep, stone",Arnaldo,Male,2/24/2024,76-790-3745,false
$1.00,Thylogale stigmatica,Red-legged pademelon,Joana,Female,3/5/2024,53-453-0141,false
😍,Chordeiles minor,"Nighthawk, common",Ignaz,Male,9/2/2023,80-000-5592,false
(╯°□°）╯︵ ┻━┻)  ,Zenaida galapagoensis,Galapagos dove,Analise,Female,12/31/2023,38-219-1492,true
部落格,Lamprotornis superbus,"Starling, superb",Guthry,Male,8/18/2023,42-638-7993,true
"""''''""'""",Ursus arctos,Grizzly bear,Jemimah,Female,12/12/2023,17-933-7131,false
(｡◕ ∀ ◕｡),Pteronura brasiliensis,Giant otter,Malia,Female,7/2/2023,00-808-7052,true
١٢٣,Macropus fuliginosus,"Kangaroo, black-faced",Jerrie,Male,4/16/2024,91-242-4636,false
✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,Felis caracal,Caracal,Auberon,Male,1/3/2024,18-504-8942,true
‪‪test‪,Papilio canadensis,Canadian tiger swallowtail butterfly,Andria,Female,1/2/2024,49-576-0846,true
사회과학원 어학연구소,Vanellus chilensis,"Lapwing, southern",Alberta,Female,3/8/2024,49-303-4503,false
1/2,Smithopsis crassicaudata,Fat-tailed dunnart,Thayne,Male,8/16/2023,23-134-2866,false
1/0,Diomedea irrorata,"Albatross, waved",Edward,Male,7/30/2023,43-996-6813,true
åß∂ƒ©˙∆˚¬…æ,Macropus robustus,"Wallaroo, common",Ellen,Female,2/14/2024,94-444-7027,false
田中さんにあげて下さい,Tockus erythrorhyncus,"Hornbill, red-billed",Gabey,Female,10/9/2023,63-724-3753,false
NIL,Canis aureus,Golden jackal,Damita,Female,7/2/2023,98-244-3463,true
NIL,Stenella coeruleoalba,Striped dolphin,Roland,Male,12/5/2023,28-267-3806,true
ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,Equus burchelli,"Zebra, common",Lucretia,Female,10/27/2023,15-040-9328,false
/dev/null; touch /tmp/blns.fail ; echo,Deroptyus accipitrinus,Hawk-headed parrot,Donovan,Male,5/3/2023,01-629-1350,false
åß∂ƒ©˙∆˚¬…æ,Sarcorhamphus papa,King vulture,Bayard,Male,6/7/2023,13-361-4566,true
田中さんにあげて下さい,Laniaurius atrococcineus,"Shrike, crimson-breasted",Orly,Female,7/7/2023,47-947-2268,true
<script>alert('hi')</script>,unavailable,African snake (unidentified),Linoel,Male,11/21/2023,89-921-1053,false
NULL,Pelecanus conspicillatus,Australian pelican,Tova,Female,3/23/2024,70-967-3906,false
null,Pycnonotus nigricans,"Bulbul, black-fronted",Silva,Female,9/21/2023,83-956-5147,false
"""""",Tragelaphus scriptus,Bushbuck,Gabriele,Male,5/25/2023,14-292-0569,false
0/0,Struthio camelus,Ostrich,Bobbe,Bigender,10/26/2023,95-860-4530,false
",./;'[]\-=",Eudromia elegans,"Tinamou, elegant crested",Rafael,Male,12/2/2023,94-599-0699,false
() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },Ardea golieth,Giant heron,Haily,Male,3/19/2024,92-230-4307,true
𠜎𠜱𠝹𠱓𠱸𠲖𠳏,Mungos mungo,Banded mongoose,Jermayne,Male,1/29/2024,44-428-3322,false
1,Ovis ammon,Argalis,Dar,Male,10/7/2023,86-774-5525,false
👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,Trichosurus vulpecula,"Possum, golden brush-tailed",Maddalena,Female,5/12/2023,75-583-9256,true
"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",Salvadora hexalepis,Western patch-nosed snake,Siobhan,Female,3/26/2024,45-322-2048,false
部落格,Melophus lathami,"Bunting, crested",Clair,Male,9/12/2023,92-428-5629,false
울란바토르,Lama glama,Llama,Noby,Male,6/23/2023,42-789-4600,false
田中さんにあげて下さい,Dusicyon thous,"Fox, savanna",Aldus,Male,8/21/2023,09-173-9313,true
"<>?:""{}|_+",Priodontes maximus,"Armadillo, giant",Emera,Female,10/7/2023,74-771-2409,true
œ∑´®†¥¨ˆøπ“‘,Colobus guerza,"Colobus, black and white",Christye,Female,6/24/2023,29-166-0270,false
👩🏽,Paroaria gularis,Black-throated cardinal,Bernhard,Male,6/2/2023,48-414-4026,true
1E2,Certotrichas paena,Kalahari scrub robin,Gerrilee,Female,8/4/2023,60-194-7331,false
!@#$%^&*(),Cacatua galerita,Sulfur-crested cockatoo,Bernardo,Male,11/10/2023,22-878-5467,false
"__ﾛ(,_,*)",Melanerpes erythrocephalus,"Woodpecker, red-headed",Delly,Female,9/13/2023,08-863-9313,true
1;DROP TABLE users,Xerus sp.,African ground squirrel (unidentified),Woody,Male,1/30/2024,40-090-5713,true
⁰⁴⁵₀₁₂,Uraeginthus bengalus,"Bleu, red-cheeked cordon",Garek,Male,11/4/2023,85-372-3906,true
␡,Trichosurus vulpecula,"Possum, golden brush-tailed",Linn,Male,5/15/2023,41-420-9757,false
(╯°□°）╯︵ ┻━┻)  ,Felis silvestris lybica,Kaffir cat,Latashia,Female,7/24/2023,42-024-3184,true
/dev/null; touch /tmp/blns.fail ; echo,Tachyglossus aculeatus,"Echidna, short-beaked",Lanna,Female,7/9/2023,57-944-5368,false
울란바토르,Helogale undulata,Eastern dwarf mongoose,Brenda,Female,11/29/2023,94-231-6444,true
$1.00,Melophus lathami,"Bunting, crested",Ezequiel,Male,2/26/2024,49-736-7215,false
(｡◕ ∀ ◕｡),Pseudocheirus peregrinus,"Ringtail, common",Lane,Female,5/12/2023,26-914-3573,false
1,Tadorna tadorna,European shelduck,Leonore,Female,2/13/2024,19-506-3060,true
 ,Galictis vittata,Huron,Lalo,Male,11/15/2023,26-980-4155,false
הָיְתָהtestالصفحات التّحول,Pseudoleistes virescens,"Marshbird, brown and yellow",Margaux,Female,6/11/2023,57-950-3503,true
ÅÍÎÏ˝ÓÔÒÚÆ☃,Corvus brachyrhynchos,House crow,Faye,Female,2/20/2024,57-641-8839,true
🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,Dusicyon thous,Crab-eating fox,Rhiamon,Female,8/15/2023,29-108-5348,false
𠜎𠜱𠝹𠱓𠱸𠲖𠳏,Manouria emys,"Tortoise, asian foreset",Andrey,Agender,11/22/2023,64-042-3530,false
åß∂ƒ©˙∆˚¬…æ,Ardea cinerea,Grey heron,Marty,Male,1/25/2024,15-154-1576,true
パーティーへ行かないか,Corallus hortulanus cooki,"Boa, cook's tree",Salomon,Male,11/6/2023,62-271-1583,false
田中さんにあげて下さい,Ardea cinerea,"Heron, gray",Mauricio,Male,10/9/2023,99-153-4319,false
"'""'",Pteronura brasiliensis,Brazilian otter,Jeno,Male,9/24/2023,97-811-6809,true
() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },Felis concolor,South American puma,Clementius,Male,2/26/2024,27-905-8959,true
(╯°□°）╯︵ ┻━┻)  ,Axis axis,Spotted deer,Lian,Female,2/25/2024,71-897-7370,false
$1.00,Galictis vittata,Grison,Jessie,Female,12/7/2023,09-684-3502,true
nil,Paraxerus cepapi,"Squirrel, smith's bush",Aurelea,Female,3/14/2024,34-919-0252,true
"<>?:""{}|_+",Procyon lotor,Common raccoon,Gavrielle,Female,2/23/2024,91-571-1049,true
̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,Panthera leo persica,"Lion, asian",Clarissa,Polygender,6/20/2023,45-550-8338,true
test⁠test‫,Felis concolor,Cougar,Hinze,Male,4/10/2024,25-843-4192,false
👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,Bettongia penicillata,Woylie,Bradney,Male,9/30/2023,05-177-2394,true
,Taurotagus oryx,"Eland, common",Danica,Female,10/8/2023,50-081-9422,true
˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,Pseudocheirus peregrinus,Common ringtail,Beatrice,Polygender,7/14/2023,40-713-6725,false
<img src=x onerror=alert('hi') />,Milvago chimachima,"Caracara, yellow-headed",Delmore,Male,3/19/2024,05-217-6676,true
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,Calyptorhynchus magnificus,Red-tailed cockatoo,Marianna,Female,6/19/2023,58-895-1387,true
'',Felis concolor,"Puma, south american",Salvidor,Male,9/2/2023,18-343-3171,false
⁦test⁧,Meles meles,"Badger, eurasian",Chev,Male,1/27/2024,51-230-4686,true
'',Zalophus californicus,"Lion, california sea",Fraser,Male,3/22/2024,88-680-6449,false
"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",Otocyon megalotis,"Fox, bat-eared",Nico,Non-binary,7/8/2023,34-119-4203,false
𠜎𠜱𠝹𠱓𠱸𠲖𠳏,Felis concolor,"Puma, south american",Ellwood,Male,1/25/2024,07-894-3277,false
᠎,Ardea cinerea,"Heron, grey",Perry,Female,8/13/2023,35-496-8806,false
/dev/null; touch /tmp/blns.fail ; echo,Leipoa ocellata,Malleefowl,Clyve,Male,10/28/2023,56-412-8106,false
Œ„´‰ˇÁ¨ˆØ∏”’,Equus hemionus,"Ass, asiatic wild",Shani,Female,4/23/2023,04-334-9730,false
"""''''""'""",Varanus albigularis,"Monitor, white-throated",Nikki,Male,1/24/2024,22-914-1515,true
הָיְתָהtestالصفحات التّحول,Rhea americana,Gray rhea,Aldo,Male,7/1/2023,99-624-3528,false
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,Cereopsis novaehollandiae,Cereopsis goose,Cletus,Male,6/17/2023,91-154-3808,false
¡™£¢∞§¶•ªº–≠,Theropithecus gelada,"Baboon, gelada",Winthrop,Male,9/12/2023,87-806-7779,true
１２３,Columba palumbus,Ring dove,Cornie,Male,4/7/2024,98-354-8661,false
-1,Acridotheres tristis,"Mynah, indian",Christen,Female,8/10/2023,46-744-8013,false
 ,Pedetes capensis,Springhare,Mommy,Female,3/21/2024,59-804-3865,true
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,Cyrtodactylus louisiadensis,Bent-toed gecko,Bobbie,Male,4/22/2023,52-575-5688,false
␡,Francolinus leucoscepus,"Spurfowl, yellow-necked",Mort,Male,1/6/2024,53-741-8738,false
｀ｨ(´∀｀∩,Cracticus nigroagularis,Pied butcher bird,Bevan,Male,11/23/2023,60-326-9849,true
null,Columba palumbus,Wood pigeon,Terrance,Male,10/26/2023,57-618-1330,false
../../../../../../../../../../../etc/hosts,Geochelone radiata,"Tortoise, radiated",Marlin,Male,5/12/2023,09-870-2661,false
",./;'[]\-=",Gopherus agassizii,"Tortoise, desert",Cecily,Female,5/15/2023,17-994-0305,false
() { 0; }; touch /tmp/blns.shellshock1.fail;,Alcelaphus buselaphus cokii,Kongoni,Cherilyn,Female,1/12/2024,65-919-2639,true
₀₁₂,Butorides striatus,Striated heron,Rolf,Male,1/15/2024,25-033-1689,true
🐵 🙈 🙉 🙊,Equus hemionus,Onager,Lucine,Female,6/14/2023,95-227-4489,false
⁰⁴⁵₀₁₂,Bucephala clangula,"Goldeneye, common",Beatrix,Female,5/8/2023,34-045-1500,true
・(￣∀￣)・:*:,Dendrohyrax brucel,Hyrax,Anthony,Male,9/19/2023,78-985-6762,true
../../../../../../../../../../../etc/passwd%00,Tockus erythrorhyncus,Red-billed hornbill,Kaitlin,Female,8/3/2023,73-942-3114,false
<img src=x onerror=alert('hi') />,Dasyurus maculatus,"Quoll, spotted-tailed",Remy,Bigender,3/1/2024,19-054-8810,false
‪‪test‪,Dendrocitta vagabunda,Indian tree pie,Ronalda,Female,4/7/2024,74-996-0050,false
⁦test⁧,Gazella thompsonii,Thomson's gazelle,Kassia,Female,2/17/2024,24-396-5813,true
() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },Columba palumbus,"Pigeon, wood",Lotta,Female,3/27/2024,72-320-3147,false
␢,Deroptyus accipitrinus,"Parrot, hawk-headed",Aube,Male,6/5/2023,61-329-3960,false
null,Deroptyus accipitrinus,"Parrot, hawk-headed",Duncan,Male,7/16/2023,65-222-8164,false
NIL,Falco mexicanus,Prairie falcon,Geralda,Female,3/11/2024,75-395-8688,false
1.00,Phalacrocorax carbo,"Cormorant, large",Domenic,Male,8/1/2023,09-963-5383,true
울란바토르,Sarcophilus harrisii,"Devil, tasmanian",Griselda,Female,1/10/2024,49-882-4050,true
null,Spermophilus richardsonii,"Squirrel, richardson's ground",Ruthi,Female,12/17/2023,59-423-3512,true
1,Mungos mungo,Banded mongoose,Fulton,Male,5/28/2023,21-243-1713,false
00˙Ɩ$-,Canis aureus,Asiatic jackal,Henrieta,Bigender,3/4/2024,76-168-9141,false
😍,Ictalurus furcatus,"Catfish, blue",Nathanil,Male,10/2/2023,81-497-3301,true
1E+02,Grus canadensis,Sandhill crane,Bret,Male,9/3/2023,66-420-3471,true
⁰⁴⁵,Tayassu pecari,"Peccary, white-lipped",Ailyn,Female,10/11/2023,15-965-0482,false
　,Ictalurus furcatus,"Catfish, blue",Georgiana,Female,5/1/2023,39-883-9132,true
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,Orcinus orca,Killer whale,Tabitha,Female,11/11/2023,49-725-4222,true
<svg><script>0<1>alert('XSS')</script>,Fregata magnificans,Magnificent frigate bird,Shana,Female,3/14/2024,20-209-6590,true
åß∂ƒ©˙∆˚¬…æ,Spheniscus magellanicus,"Penguin, magellanic",Tedi,Female,5/6/2023,51-512-0130,true
␣,Lepus townsendii,"Jackrabbit, white-tailed",Priscilla,Female,7/31/2023,21-802-8375,false
田中さんにあげて下さい,Nycticorax nycticorax,Black-crowned night heron,Preston,Genderfluid,10/31/2023,37-669-6944,false
<svg><script>0<1>alert('XSS')</script>,Alcelaphus buselaphus cokii,Kongoni,Nerti,Female,9/16/2023,86-389-4863,true
⁰⁴⁵,Cercopithecus aethiops,"Monkey, vervet",Sheffield,Male,2/16/2024,94-702-7144,true
田中さんにあげて下さい,Agkistrodon piscivorus,Cottonmouth,Gabriella,Female,5/12/2023,23-510-9163,false
',Hystrix cristata,"Porcupine, african",Anton,Male,11/1/2023,72-842-5498,false
